Original	Obfused	Corrected
on	on	on
the	the	a
sly	sly	sly
,	,	,
a	the	a
going	going	going
in	in	in
and	and	and
going	going	going
out	out	out
to	to	to
their	their	their
own	own	own
carriages--ah	carriages--ah	_UNK
!	!	!
equally	equally	equally
like	like	like
smoke	smoke	smoke
,	,	,
if	if	if
not	not	not
more	more	more
so	so	so
.	.	.
Well	Well	Well
,	,	,
that	that	that
'	'	'
ud	ud	Call
be	be	be
imposing	imposing	imposing
,	,	,
too	too	too
,	,	,
on	on	on
Tellson	Tellson	_UNK
'	'	'
s	s	s
.	.	.
For	For	For
you	you	you
cannot	cannot	cannot
sarse	sarse	_UNK
the	a	a
goose	goose	_UNK
and	and	and
not	not	not
the	the	the
gander	gander	_UNK
.	.	.
And	And	And
here	here	here
'	'	'
s	s	s
Mrs	Mrs	Mrs
.	.	.
Cruncher	Cruncher	_UNK
,	,	,
or	or	or
leastways	leastways	leastways
wos	wos	_UNK
in	in	in
the	the	the
Old	Old	Old
England	England	England
times	times	times
,	,	,
and	and	and
would	would	would
be	be	be
to-morrow	to-morrow	to-morrow
,	,	,
if	if	if
cause	cause	cause
given	given	given
,	,	,
a	a	the
floppin	floppin	_UNK
'	'	'
again	again	again
the	the	the
business	business	business
to	to	to
that	that	that
degree	degree	degree
as	as	as
is	is	is
ruinating--stark	ruinating--stark	_UNK
ruinating	ruinating	_UNK
!	!	!
Whereas	Whereas	black
them	them	them
medical	medical	medical
doctors	doctors	professionally
'	'	'
wives	wives	wives
don	don	don
'	'	'
t	t	t
flop--catch	flop--catch	_UNK
'	'	'
em	em	em
at	at	at
it	it	it
!	!	!
Or	Or	Or
,	,	,
if	if	if
they	they	they
flop	flop	_UNK
,	,	,
their	their	their
floppings	floppings	_UNK
goes	goes	goes
in	in	in
favour	favour	favour
of	of	of
more	more	more
patients	patients	_UNK
,	,	,
and	and	and
how	how	how
can	can	can
you	you	you
rightly	rightly	rightly
have	have	have
one	one	one
without	without	without
t	t	t
'	'	'
other	other	other
?	?	?
Then	Then	Then
,	,	,
wot	wot	wot
with	with	with
undertakers	undertakers	_UNK
,	,	,
and	and	and
wot	wot	wot
with	with	with
parish	parish	parish
clerks	clerks	_UNK
,	,	,
and	and	and
wot	wot	wot
with	with	with
sextons	sextons	_UNK
,	,	,
and	and	and
wot	wot	wot
with	with	with
private	private	private
watchmen	watchmen	_UNK
(	(	(
all	all	all
awaricious	awaricious	_UNK
and	and	and
all	all	all
in	in	in
it	it	it
)	)	)
,	,	,
a	the	the
man	man	man
wouldn	wouldn	wouldn
'	'	'
t	t	t
get	get	get
much	much	much
by	by	by
it	it	it
,	,	,
even	even	even
if	if	if
it	it	it
wos	wos	_UNK
so	so	so
.	.	.
And	And	And
wot	wot	wot
little	little	little
a	a	a
man	man	man
did	did	did
get	get	get
,	,	,
would	would	would
never	never	never
prosper	prosper	prosper
with	with	with
him	him	him
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
He	He	He
'	'	'
d	d	d
never	never	never
have	have	have
no	no	no
good	good	good
of	of	of
it	it	it
;	;	;
he	he	he
'	'	'
d	d	d
want	want	want
all	all	all
along	along	along
to	to	to
be	be	be
out	out	out
of	of	of
the	the	the
line	line	line
,	,	,
if	if	if
he	he	he
,	,	,
could	could	could
see	see	see
his	his	his
way	way	way
out	out	out
,	,	,
being	being	being
once	once	once
in--even	in--even	_UNK
if	if	if
it	it	it
wos	wos	_UNK
so	so	so
.	.	.
""""	""""	""""
""""	""""	""""
Ugh	Ugh	Ugh
!	!	!
""""	""""	""""
cried	cried	cried
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
rather	rather	rather
relenting	relenting	.
,	,	,
nevertheless	nevertheless	nevertheless
,	,	,
""""	""""	""""
I	I	I
am	am	am
shocked	shocked	shocked
at	at	at
the	the	the
sight	sight	sight
of	of	of
you	you	you
.	.	.
""""	""""	""""
""""	""""	""""
Now	Now	Now
,	,	,
what	what	what
I	I	I
would	would	would
humbly	humbly	humbly
offer	offer	offer
to	to	to
you	you	you
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
pursued	pursued	pursued
Mr	Mr	Mr
.	.	.
Cruncher	Cruncher	_UNK
,	,	,
""""	""""	""""
even	even	even
if	if	if
it	it	it
wos	wos	_UNK
so	so	so
,	,	,
which	which	which
I	I	I
don	don	don
'	'	'
t	t	t
say	say	say
it	it	it
is--	is--	_UNK
""""	""""	""""
""""	""""	""""
Don	Don	Don
'	'	'
t	t	t
prevaricate	prevaricate	_UNK
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
No	No	No
,	,	,
I	I	I
will	will	will
_not_	_not_	_not_
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
returned	returned	returned
Mr	Mr	Mr
.	.	.
Crunches	Crunches	_UNK
as	as	as
if	if	if
nothing	nothing	nothing
were	were	were
further	further	further
from	from	from
his	his	his
thoughts	thoughts	thoughts
or	or	or
practice--	practice--	_UNK
""""	""""	""""
which	which	which
I	I	I
don	don	don
'	'	'
t	t	t
say	say	say
it	it	it
is--wot	is--wot	_UNK
I	I	I
would	would	would
humbly	humbly	humbly
offer	offer	offer
to	to	to
you	you	you
,	,	,
sir	sir	sir
,	,	,
would	would	would
be	be	be
this	this	this
.	.	.
Upon	Upon	Upon
that	that	that
there	there	there
stool	stool	stool
,	,	,
at	at	at
that	that	that
there	there	there
Bar	Bar	Bar
,	,	,
sets	sets	sets
that	that	that
there	there	there
boy	boy	boy
of	of	of
mine	mine	mine
,	,	,
brought	brought	brought
up	up	up
and	and	and
growed	growed	_UNK
up	up	up
to	to	to
be	be	be
a	a	the
man	man	man
,	,	,
wot	wot	wot
will	will	will
errand	errand	errand
you	you	you
,	,	,
message	message	message
you	you	you
,	,	,
general-light-job	general-light-job	_UNK
you	you	you
,	,	,
till	till	till
your	your	your
heels	heels	heels
is	is	is
where	where	where
your	your	your
head	head	head
is	is	is
,	,	,
if	if	if
such	such	such
should	should	should
be	be	be
your	your	your
wishes	wishes	wishes
.	.	.
If	If	If
it	it	it
wos	wos	_UNK
so	so	so
,	,	,
which	which	which
I	I	I
still	still	still
don	don	don
'	'	'
t	t	t
say	say	say
it	it	it
is	is	is
(	(	(
for	for	for
I	I	I
will	will	will
not	not	not
prewaricate	prewaricate	_UNK
to	to	to
you	you	you
,	,	,
sir	sir	sir
)	)	)
,	,	,
let	let	let
that	that	that
there	there	there
boy	boy	boy
keep	keep	keep
his	his	his
father	father	father
'	'	'
s	s	s
place	place	place
,	,	,
and	and	and
take	take	take
care	care	care
of	of	of
his	his	his
mother	mother	mother
;	;	;
don	don	don
'	'	'
t	t	t
blow	blow	blow
upon	upon	upon
that	that	that
boy	boy	boy
'	'	'
s	s	s
father--do	father--do	_UNK
not	not	not
do	do	do
it	it	it
,	,	,
sir--and	sir--and	_UNK
let	let	let
that	that	that
father	father	father
go	go	go
into	into	into
the	the	a
line	line	line
of	of	of
the	the	a
reg	reg	_UNK
'	'	'
lar	lar	_UNK
diggin	diggin	_UNK
'	'	'
,	,	,
and	and	and
make	make	make
amends	amends	_UNK
for	for	for
what	what	what
he	he	he
would	would	would
have	have	have
undug--if	undug--if	_UNK
it	it	it
wos	wos	_UNK
so--by	so--by	_UNK
diggin	diggin	_UNK
'	'	'
of	of	of
'	'	'
em	em	em
in	in	in
with	with	with
a	a	the
will	will	will
,	,	,
and	and	and
with	with	with
conwictions	conwictions	_UNK
respectin	respectin	_UNK
'	'	'
the	the	the
futur	futur	_UNK
'	'	'
keepin	keepin	_UNK
'	'	'
of	of	of
'	'	'
em	em	em
safe	safe	safe
.	.	.
That	That	That
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Cruncher	Cruncher	_UNK
,	,	,
wiping	wiping	wiping
his	his	his
forehead	forehead	forehead
with	with	with
his	his	his
arm	arm	arm
,	,	,
as	as	as
an	an	an
announcement	announcement	_UNK
that	that	that
he	he	he
had	had	had
arrived	arrived	arrived
at	at	at
the	a	a
peroration	peroration	_UNK
of	of	of
his	his	his
discourse	discourse	discourse
,	,	,
""""	""""	""""
is	is	is
wot	wot	wot
I	I	I
would	would	would
respectfully	respectfully	respectfully
offer	offer	offer
to	to	to
you	you	you
,	,	,
sir	sir	sir
.	.	.
A	A	A
man	man	man
don	don	don
'	'	'
t	t	t
see	see	see
all	all	all
this	this	this
here	here	here
a	the	the
goin	goin	_UNK
'	'	'
on	on	on
dreadful	dreadful	dreadful
round	round	round
him	him	him
,	,	,
in	in	in
the	a	the
way	way	way
of	of	of
Subjects	Subjects	_UNK
without	without	without
heads	heads	heads
,	,	,
dear	dear	dear
me	me	me
,	,	,
plentiful	plentiful	_UNK
enough	enough	enough
fur	fur	fur
to	to	to
bring	bring	bring
the	a	a
price	price	price
down	down	down
to	to	to
porterage	porterage	_UNK
and	and	and
hardly	hardly	hardly
that	that	that
,	,	,
without	without	without
havin	havin	_UNK
'	'	'
his	his	his
serious	serious	serious
thoughts	thoughts	thoughts
of	of	of
things	things	things
.	.	.
And	And	And
these	these	these
here	here	here
would	would	would
be	be	be
mine	mine	mine
,	,	,
if	if	if
it	it	it
wos	wos	_UNK
so	so	so
,	,	,
entreatin	entreatin	_UNK
'	'	'
of	of	of
you	you	you
fur	fur	fur
to	to	to
bear	bear	bear
in	in	in
mind	mind	mind
that	that	that
wot	wot	wot
I	I	I
said	said	said
just	just	just
now	now	now
,	,	,
I	I	I
up	up	up
and	and	and
said	said	said
in	in	in
the	the	the
good	good	good
cause	cause	cause
when	when	when
I	I	I
might	might	might
have	have	have
kep	kep	?
'	'	'
it	it	it
back	back	back
.	.	.
""""	""""	""""
""""	""""	""""
That	That	That
at	at	at
least	least	least
is	is	is
true	true	true
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
Say	Say	Say
no	no	no
more	more	more
now	now	now
.	.	.
It	It	It
may	may	may
be	be	be
that	that	that
I	I	I
shall	shall	shall
yet	yet	yet
stand	stand	stand
your	your	your
friend	friend	friend
,	,	,
if	if	if
you	you	you
deserve	deserve	deserve
it	it	it
,	,	,
and	and	and
repent	repent	repent
in	in	in
action--not	action--not	_UNK
in	in	in
words	words	words
.	.	.
I	I	I
want	want	want
no	no	no
more	more	more
words	words	words
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Cruncher	Cruncher	_UNK
knuckled	knuckled	_UNK
his	his	his
forehead	forehead	forehead
,	,	,
as	as	as
Sydney	Sydney	_UNK
Carton	Carton	_UNK
and	and	and
the	the	the
spy	spy	spy
returned	returned	returned
from	from	from
the	a	the
dark	dark	dark
room	room	room
.	.	.
""""	""""	""""
Adieu	Adieu	_UNK
,	,	,
Mr	Mr	Mr
.	.	.
Barsad	Barsad	_UNK
,	,	,
""""	""""	""""
said	said	said
the	a	the
former	former	former
;	;	;
""""	""""	""""
our	our	our
arrangement	arrangement	arrangement
thus	thus	thus
made	made	made
,	,	,
you	you	you
have	have	have
nothing	nothing	nothing
to	to	to
fear	fear	fear
from	from	from
me	me	me
.	.	.
""""	""""	""""
He	He	He
sat	sat	sat
down	down	down
in	in	in
a	the	a
chair	chair	chair
on	on	on
the	the	the
hearth	hearth	hearth
,	,	,
over	over	over
against	against	against
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
When	When	When
they	they	they
were	were	were
alone	alone	alone
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
asked	asked	asked
him	him	him
what	what	what
he	he	he
had	had	had
done	done	done
?	?	?
""""	""""	""""
Not	Not	Not
much	much	much
.	.	.
If	If	If
it	it	it
should	should	should
go	go	go
ill	ill	ill
with	with	with
the	the	the
prisoner	prisoner	prisoner
,	,	,
I	I	I
have	have	have
ensured	ensured	_UNK
access	access	_UNK
to	to	to
him	him	him
,	,	,
once	once	once
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
countenance	countenance	countenance
fell	fell	fell
.	.	.
""""	""""	""""
It	It	It
is	is	is
all	all	all
I	I	I
could	could	could
do	do	do
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
""""	""""	""""
To	To	To
propose	propose	propose
too	too	too
much	much	much
,	,	,
would	would	would
be	be	be
to	to	to
put	put	put
this	this	this
man	man	man
'	'	'
s	s	s
head	head	head
under	under	under
the	the	the
axe	axe	_UNK
,	,	,
and	and	and
,	,	,
as	as	as
he	he	he
himself	himself	himself
said	said	said
,	,	,
nothing	nothing	nothing
worse	worse	worse
could	could	could
happen	happen	happen
to	to	to
him	him	him
if	if	if
he	he	he
were	were	were
denounced	denounced	_UNK
.	.	.
It	It	It
was	was	was
obviously	obviously	obviously
the	the	a
weakness	weakness	weakness
of	of	of
the	the	the
position	position	position
.	.	.
There	There	There
is	is	is
no	no	no
help	help	help
for	for	for
it	it	it
.	.	.
""""	""""	""""
""""	""""	""""
But	But	But
access	access	_UNK
to	to	to
him	him	him
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
""""	""""	""""
if	if	if
it	it	it
should	should	should
go	go	go
ill	ill	ill
before	before	before
the	the	the
Tribunal	Tribunal	_UNK
,	,	,
will	will	will
not	not	not
save	save	save
him	him	him
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
never	never	never
said	said	said
it	it	it
would	would	would
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
eyes	eyes	eyes
gradually	gradually	gradually
sought	sought	sought
the	the	the
fire	fire	fire
;	;	;
his	his	his
sympathy	sympathy	sympathy
with	with	with
his	his	his
darling	darling	darling
,	,	,
and	and	and
the	a	a
heavy	heavy	heavy
disappointment	disappointment	disappointment
of	of	of
his	his	his
second	second	second
arrest	arrest	_UNK
,	,	,
gradually	gradually	gradually
weakened	weakened	weakened
them	them	them
;	;	;
he	he	he
was	was	was
an	an	an
old	old	old
man	man	man
now	now	now
,	,	,
overborne	overborne	the
with	with	with
anxiety	anxiety	anxiety
of	of	of
late	late	late
,	,	,
and	and	and
his	his	his
tears	tears	tears
fell	fell	fell
.	.	.
""""	""""	""""
You	You	You
are	are	are
a	a	a
good	good	good
man	man	man
and	and	and
a	the	the
true	true	true
friend	friend	friend
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
,	,	,
in	in	in
an	an	an
altered	altered	altered
voice	voice	voice
.	.	.
""""	""""	""""
Forgive	Forgive	Forgive
me	me	me
if	if	if
I	I	I
notice	notice	notice
that	that	that
you	you	you
are	are	are
affected	affected	affected
.	.	.
I	I	I
could	could	could
not	not	not
see	see	see
my	my	my
father	father	father
weep	weep	weep
,	,	,
and	and	and
sit	sit	sit
by	by	by
,	,	,
careless	careless	careless
.	.	.
And	And	And
I	I	I
could	could	could
not	not	not
respect	respect	respect
your	your	your
sorrow	sorrow	sorrow
more	more	more
,	,	,
if	if	if
you	you	you
were	were	were
my	my	my
father	father	father
.	.	.
You	You	You
are	are	are
free	free	free
from	from	from
that	that	that
misfortune	misfortune	misfortune
,	,	,
however	however	however
.	.	.
""""	""""	""""
Though	Though	Though
he	he	he
said	said	said
the	the	the
last	last	last
words	words	words
,	,	,
with	with	with
a	the	a
slip	slip	blame
into	into	into
his	his	his
usual	usual	usual
manner	manner	manner
,	,	,
there	there	there
was	was	was
a	a	a
true	true	true
feeling	feeling	feeling
and	and	and
respect	respect	respect
both	both	both
in	in	in
his	his	his
tone	tone	tone
and	and	and
in	in	in
his	his	his
touch	touch	touch
,	,	,
that	that	that
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
who	who	who
had	had	had
never	never	never
seen	seen	seen
the	the	the
better	better	better
side	side	side
of	of	of
him	him	him
,	,	,
was	was	was
wholly	wholly	wholly
unprepared	unprepared	_UNK
for	for	for
.	.	.
He	He	He
gave	gave	gave
him	him	him
his	his	his
hand	hand	hand
,	,	,
and	and	and
Carton	Carton	_UNK
gently	gently	gently
pressed	pressed	pressed
it	it	it
.	.	.
""""	""""	""""
To	To	To
return	return	return
to	to	to
poor	poor	poor
Darnay	Darnay	_UNK
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
""""	""""	""""
Don	Don	Don
'	'	'
t	t	t
tell	tell	tell
Her	Her	Her
of	of	of
this	this	this
interview	interview	interview
,	,	,
or	or	or
this	this	this
arrangement	arrangement	arrangement
.	.	.
It	It	It
would	would	would
not	not	not
enable	enable	enable
Her	Her	Her
to	to	to
go	go	go
to	to	to
see	see	see
him	him	him
.	.	.
She	She	She
might	might	might
think	think	think
it	it	it
was	was	was
contrived	contrived	contrived
,	,	,
in	in	in
case	case	case
of	of	of
the	the	the
worse	worse	worse
,	,	,
to	to	to
convey	convey	convey
to	to	to
him	him	him
the	the	a
means	means	means
of	of	of
anticipating	anticipating	,
the	the	a
sentence	sentence	sentence
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
had	had	had
not	not	not
thought	thought	thought
of	of	of
that	that	that
,	,	,
and	and	and
he	he	he
looked	looked	looked
quickly	quickly	quickly
at	at	at
Carton	Carton	_UNK
to	to	to
see	see	see
if	if	if
it	it	it
were	were	were
in	in	in
his	his	his
mind	mind	mind
.	.	.
It	It	It
seemed	seemed	seemed
to	to	to
be	be	be
;	;	;
he	he	he
returned	returned	returned
the	a	a
look	look	look
,	,	,
and	and	and
evidently	evidently	evidently
understood	understood	understood
it	it	it
.	.	.
""""	""""	""""
She	She	She
might	might	might
think	think	think
a	a	the
thousand	thousand	thousand
things	things	things
,	,	,
""""	""""	""""
Carton	Carton	_UNK
said	said	said
,	,	,
""""	""""	""""
and	and	and
any	any	any
of	of	of
them	them	them
would	would	would
only	only	only
add	add	add
to	to	to
her	her	her
trouble	trouble	trouble
.	.	.
Don	Don	Don
'	'	'
t	t	t
speak	speak	speak
of	of	of
me	me	me
to	to	to
her	her	her
.	.	.
As	As	As
I	I	I
said	said	said
to	to	to
you	you	you
when	when	when
I	I	I
first	first	first
came	came	came
,	,	,
I	I	I
had	had	had
better	better	better
not	not	not
see	see	see
her	her	her
.	.	.
I	I	I
can	can	can
put	put	put
my	my	my
hand	hand	hand
out	out	out
,	,	,
to	to	to
do	do	do
any	any	any
little	little	little
helpful	helpful	_UNK
work	work	work
for	for	for
her	her	her
that	that	that
my	my	my
hand	hand	hand
can	can	can
find	find	find
to	to	to
do	do	do
,	,	,
without	without	without
that	that	that
.	.	.
You	You	You
are	are	are
going	going	going
to	to	to
her	her	her
,	,	,
I	I	I
hope	hope	hope
?	?	?
She	She	She
must	must	must
be	be	be
very	very	very
desolate	desolate	desolate
to-night	to-night	to-night
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
am	am	am
going	going	going
now	now	now
,	,	,
directly	directly	directly
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
am	am	am
glad	glad	glad
of	of	of
that	that	that
.	.	.
She	She	She
has	has	has
such	such	such
a	a	a
strong	strong	strong
attachment	attachment	attachment
to	to	to
you	you	you
and	and	and
reliance	reliance	_UNK
on	on	on
you	you	you
.	.	.
How	How	How
does	does	does
she	she	she
look	look	look
?	?	?
""""	""""	""""
""""	""""	""""
Anxious	Anxious	_UNK
and	and	and
unhappy	unhappy	unhappy
,	,	,
but	but	but
very	very	very
beautiful	beautiful	beautiful
.	.	.
""""	""""	""""
""""	""""	""""
Ah	Ah	Ah
!	!	!
""""	""""	""""
It	It	It
was	was	was
a	a	a
long	long	long
,	,	,
grieving	grieving	grieving
sound	sound	sound
,	,	,
like	like	like
a	a	the
sigh--almost	sigh--almost	_UNK
like	like	like
a	the	a
sob	sob	sob
.	.	.
It	It	It
attracted	attracted	attracted
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
eyes	eyes	eyes
to	to	to
Carton	Carton	_UNK
'	'	'
s	s	s
face	face	face
,	,	,
which	which	which
was	was	was
turned	turned	turned
to	to	to
the	a	the
fire	fire	fire
.	.	.
A	A	A
light	light	light
,	,	,
or	or	or
a	the	the
shade	shade	shade
(	(	(
the	the	the
old	old	old
gentleman	gentleman	gentleman
could	could	could
not	not	not
have	have	have
said	said	said
which	which	which
)	)	)
,	,	,
passed	passed	passed
from	from	from
it	it	it
as	as	as
swiftly	swiftly	swiftly
as	as	as
a	a	the
change	change	change
will	will	will
sweep	sweep	sweep
over	over	over
a	a	the
hill-side	hill-side	_UNK
on	on	on
a	the	the
wild	wild	wild
bright	bright	bright
day	day	day
,	,	,
and	and	and
he	he	he
lifted	lifted	lifted
his	his	his
foot	foot	foot
to	to	to
put	put	put
back	back	back
one	one	one
of	of	of
the	the	a
little	little	little
flaming	flaming	_UNK
logs	logs	_UNK
,	,	,
which	which	which
was	was	was
tumbling	tumbling	justly
forward	forward	forward
.	.	.
He	He	He
wore	wore	wore
the	a	a
white	white	white
riding-coat	riding-coat	_UNK
and	and	and
top-boots	top-boots	top-boots
,	,	,
then	then	then
in	in	in
vogue	vogue	_UNK
,	,	,
and	and	and
the	the	the
light	light	light
of	of	of
the	the	the
fire	fire	fire
touching	touching	touching
their	their	their
light	light	light
surfaces	surfaces	_UNK
made	made	made
him	him	him
look	look	look
very	very	very
pale	pale	pale
,	,	,
with	with	with
his	his	his
long	long	long
brown	brown	brown
hair	hair	hair
,	,	,
all	all	all
untrimmed	untrimmed	_UNK
,	,	,
hanging	hanging	hanging
loose	loose	loose
about	about	about
him	him	him
.	.	.
His	His	His
indifference	indifference	indifference
to	to	to
fire	fire	fire
was	was	was
sufficiently	sufficiently	sufficiently
remarkable	remarkable	remarkable
to	to	to
elicit	elicit	bidding
a	a	a
word	word	word
of	of	of
remonstrance	remonstrance	remonstrance
from	from	from
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
;	;	;
his	his	his
boot	boot	boot
was	was	was
still	still	still
upon	upon	upon
the	a	the
hot	hot	hot
embers	embers	_UNK
of	of	of
the	the	the
flaming	flaming	_UNK
log	log	_UNK
,	,	,
when	when	when
it	it	it
had	had	had
broken	broken	broken
under	under	under
the	the	the
weight	weight	weight
of	of	of
his	his	his
foot	foot	foot
.	.	.
""""	""""	""""
I	I	I
forgot	forgot	forgot
it	it	it
,	,	,
""""	""""	""""
he	he	he
said	said	said
.	.	.
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
eyes	eyes	eyes
were	were	were
again	again	again
attracted	attracted	attracted
to	to	to
his	his	his
face	face	face
.	.	.
Taking	Taking	Shortly
note	note	note
of	of	of
the	the	a
wasted	wasted	wasted
air	air	air
which	which	which
clouded	clouded	_UNK
the	a	the
naturally	naturally	naturally
handsome	handsome	handsome
features	features	features
,	,	,
and	and	and
having	having	having
the	the	the
expression	expression	expression
of	of	of
prisoners	prisoners	'
'	'	'
faces	faces	faces
fresh	fresh	fresh
in	in	in
his	his	his
mind	mind	mind
,	,	,
he	he	he
was	was	was
strongly	strongly	strongly
reminded	reminded	reminded
of	of	of
that	that	that
expression	expression	expression
.	.	.
""""	""""	""""
And	And	And
your	your	your
duties	duties	duties
here	here	here
have	have	have
drawn	drawn	drawn
to	to	to
an	an	an
end	end	end
,	,	,
sir	sir	sir
?	?	?
""""	""""	""""
said	said	said
Carton	Carton	_UNK
,	,	,
turning	turning	turning
to	to	to
him	him	him
.	.	.
""""	""""	""""
Yes	Yes	Yes
.	.	.
As	As	As
I	I	I
was	was	was
telling	telling	telling
you	you	you
last	last	last
night	night	night
when	when	when
Lucie	Lucie	_UNK
came	came	came
in	in	in
so	so	so
unexpectedly	unexpectedly	unexpectedly
,	,	,
I	I	I
have	have	have
at	at	at
length	length	length
done	done	done
all	all	all
that	that	that
I	I	I
can	can	can
do	do	do
here	here	here
.	.	.
I	I	I
hoped	hoped	hoped
to	to	to
have	have	have
left	left	left
them	them	them
in	in	in
perfect	perfect	perfect
safety	safety	safety
,	,	,
and	and	and
then	then	then
to	to	to
have	have	have
quitted	quitted	quitted
Paris	Paris	the
.	.	.
I	I	I
have	have	have
my	my	my
Leave	Leave	_UNK
to	to	to
Pass	Pass	_UNK
.	.	.
I	I	I
was	was	was
ready	ready	ready
to	to	to
go	go	go
.	.	.
""""	""""	""""
They	They	They
were	were	were
both	both	both
silent	silent	silent
.	.	.
""""	""""	""""
Yours	Yours	Yours
is	is	is
a	a	a
long	long	long
life	life	life
to	to	to
look	look	look
back	back	back
upon	upon	upon
,	,	,
sir	sir	sir
?	?	?
""""	""""	""""
said	said	said
Carton	Carton	_UNK
,	,	,
wistfully	wistfully	compassionately
.	.	.
""""	""""	""""
I	I	I
am	am	am
in	in	in
my	my	my
seventy-eighth	seventy-eighth	_UNK
year	year	year
.	.	.
""""	""""	""""
""""	""""	""""
You	You	You
have	have	have
been	been	been
useful	useful	useful
all	all	all
your	your	your
life	life	life
;	;	;
steadily	steadily	steadily
and	and	and
constantly	constantly	constantly
occupied	occupied	occupied
;	;	;
trusted	trusted	trusted
,	,	,
respected	respected	respected
,	,	,
and	and	and
looked	looked	looked
up	up	up
to	to	to
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
have	have	have
been	been	been
a	a	a
man	man	man
of	of	of
business	business	business
,	,	,
ever	ever	ever
since	since	since
I	I	I
have	have	have
been	been	been
a	a	the
man	man	man
.	.	.
Indeed	Indeed	Indeed
,	,	,
I	I	I
may	may	may
say	say	say
that	that	that
I	I	I
was	was	was
a	the	a
man	man	man
of	of	of
business	business	business
when	when	when
a	a	the
boy	boy	boy
.	.	.
""""	""""	""""
""""	""""	""""
See	See	See
what	what	what
a	the	the
place	place	place
you	you	you
fill	fill	fill
at	at	at
seventy-eight	seventy-eight	_UNK
.	.	.
How	How	How
many	many	many
people	people	people
will	will	will
miss	miss	miss
you	you	you
when	when	when
you	you	you
leave	leave	leave
it	it	it
empty	empty	empty
!	!	!
""""	""""	""""
""""	""""	""""
A	A	A
solitary	solitary	solitary
old	old	old
bachelor	bachelor	bachelor
,	,	,
""""	""""	""""
answered	answered	answered
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
shaking	shaking	shaking
his	his	his
head	head	head
.	.	.
""""	""""	""""
There	There	There
is	is	is
nobody	nobody	nobody
to	to	to
weep	weep	weep
for	for	for
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
How	How	How
can	can	can
you	you	you
say	say	say
that	that	that
?	?	?
Wouldn	Wouldn	Wouldn
'	'	'
t	t	t
She	She	She
weep	weep	weep
for	for	for
you	you	you
?	?	?
Wouldn	Wouldn	Wouldn
'	'	'
t	t	t
her	her	her
child	child	child
?	?	?
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
,	,	,
yes	yes	yes
,	,	,
thank	thank	thank
God	God	God
.	.	.
I	I	I
didn	didn	didn
'	'	'
t	t	t
quite	quite	quite
mean	mean	mean
what	what	what
I	I	I
said	said	said
.	.	.
""""	""""	""""
""""	""""	""""
It	It	It
_is_	_is_	_is_
a	a	a
thing	thing	thing
to	to	to
thank	thank	thank
God	God	God
for	for	for
;	;	;
is	is	is
it	it	it
not	not	not
?	?	?
""""	""""	""""
""""	""""	""""
Surely	Surely	Surely
,	,	,
surely	surely	surely
.	.	.
""""	""""	""""
""""	""""	""""
If	If	If
you	you	you
could	could	could
say	say	say
,	,	,
with	with	with
truth	truth	truth
,	,	,
to	to	to
your	your	your
own	own	own
solitary	solitary	solitary
heart	heart	heart
,	,	,
